Frame,Driver,Speed,Sector,Lap
1,HAMILTON,80,Sector 3,34 / 53
301,HAMILTON,291,Sector 3,34 / 53
601,HAMILTON,185,Sector 1,35 / 53
901,HAMILTON,145,Sector 1,35 / 53
1201,HAMILTON,137,Sector 2,35 / 53
1501,HAMILTON,290,Sector 2,35 / 53
1801,HAMILTON,173,Sector 2,35 / 53
2101,HAMILTON,265,Sector 2,35 / 53
2401,HAMILTON,282,Sector 3,35 / 53
2701,HAMILTON,192,Sector 3,35 / 53
3001,HAMILTON,225,Sector 3,35 / 53
3301,HAMILTON,89,Sector 3,35 / 53
3601,HAMILTON,289,Sector 3,35 / 53
3901,HAMILTON,184,Sector 1,36 / 53
4201,HAMILTON,143,Sector 1,36 / 53
4501,HAMILTON,141,Sector 2,36 / 53
4801,HAMILTON,292,Sector 2,36 / 53
5101,HAMILTON,169,Sector 2,36 / 53
5401,HAMILTON,266,Sector 2,36 / 53
